formula,prediction,density,Density Score,index
SrLi4N2,75.036,0.131,1.935,8126
Ca3Au,31.827,0.113,1.724,1065
LiLuPt2,137.162,0.192,1.719,4478
Sr6Sn2NO,68.781,0.151,1.558,8034
LiErGe,54.182,0.140,1.554,4381
Li7Sn2,31.582,0.125,1.528,4239
Rb3Mg,22.987,0.119,1.524,6861
Li3Au,25.593,0.123,1.495,4140
Ca3BiSb,55.651,0.151,1.414,1069
Sr3MnN3,80.111,0.188,1.114,8007
TmHfRu2,192.524,0.281,0.978,9217
Yb2SbAu,51.201,0.178,0.934,9975
LiB,60.708,0.186,0.931,4293
Er2ZnRu,68.020,0.193,0.908,2366
Nd2CdIn,70.762,0.195,0.900,6000
Pr2ZnHg,66.297,0.194,0.865,6558
MnAlRh2,195.539,0.292,0.843,5266
ErB2Rh2C,183.590,0.283,0.842,2384
Yb2AgSn,51.977,0.185,0.834,9954
LiTmIn2,51.941,0.186,0.829,4641
Sm2AgSn,61.264,0.194,0.813,7571
CaSmZn2,58.901,0.193,0.798,1307
BeGaRh2,189.496,0.292,0.776,852
HoTmMg2,55.613,0.192,0.770,3325
TbGaRh2,176.213,0.284,0.750,8438
Li4UO5,51.638,0.193,0.709,4204
LiTmHg2,40.727,0.187,0.684,4640
NdTmTl2,48.944,0.196,0.629,6155
ScNbOs2,168.747,0.288,0.604,7384
LiAlPt2,155.164,0.278,0.588,4281
CrPO4,133.581,0.263,0.581,1787
Fe2W,163.706,0.293,0.465,2569
Ho2Cr2C3,134.979,0.276,0.398,3189
MgSiN2,137.219,0.278,0.392,5115
Ti2GaC,152.833,0.293,0.340,8693
MnSbPd2,150.059,0.291,0.328,5373
Ho(SiRu)2,139.013,0.284,0.314,3178
SF6,62.059,0.227,0.312,7074
U2CrN3,139.671,0.288,0.269,9287
Nd(CoSi)2,130.595,0.281,0.262,5981
Pr(CoSi)2,126.388,0.282,0.207,6525
CeIr2,124.532,0.283,0.160,1545
Al(SnO2)2,95.751,0.265,0.107,139
Ca2MnO4,79.958,0.255,0.080,1030
Ga2CoS4,94.054,0.267,0.060,2674
ThSiO4,91.646,0.266,0.047,8639
Cr2FeS4,101.499,0.275,0.028,1698
CrGaP2,109.578,0.281,0.024,1766
CeNiC2,112.273,0.284,0.012,1560
Mg(BeN)2,104.767,0.279,0.005,4839
Fe3Sn2,120.861,0.291,-0.005,2587
Sm2Zr2O7,84.543,0.267,-0.042,7608
CaCu2O3,88.295,0.270,-0.047,1177
Sc2CoRu,113.902,0.289,-0.048,7168
Ni2Ge,113.899,0.291,-0.087,6171
Cs2CrCl4,51.355,0.245,-0.089,1826
CuAs,102.173,0.283,-0.098,2091
Cs2RbInF6,48.614,0.243,-0.099,1888
RbSbO3,46.670,0.243,-0.117,6979
BaTiS3,61.292,0.254,-0.118,751
HfPbO3,78.283,0.267,-0.122,3060
CaPd3O4,79.948,0.269,-0.132,1270
Hf4N3,110.656,0.292,-0.138,2946
Rb2Cr(BrCl)2,46.909,0.247,-0.179,6763
NdBPd3,98.261,0.286,-0.188,6045
Ho2CF2,40.112,0.245,-0.215,3185
P3N5,79.707,0.275,-0.229,6305
ErCdCu4,97.929,0.289,-0.232,2394
TiBiRh,104.295,0.294,-0.243,8848
P2Pb2O7,64.632,0.265,-0.244,6298
BaTe2,41.054,0.248,-0.255,744
SmMn2O5,69.301,0.269,-0.257,7724
YNiSb,71.769,0.271,-0.260,9851
DyCuSeO,67.802,0.269,-0.271,2242
V2C,97.348,0.291,-0.275,9401
K2SnCl6,30.353,0.243,-0.300,3510
TbNi2,78.171,0.279,-0.303,8458
ZnCo3C,94.091,0.291,-0.316,10231
Na2Hf2O5,48.068,0.258,-0.325,5475
TaNiGe,96.053,0.294,-0.329,8321
AsPdSe,67.954,0.274,-0.346,352
ZrH3,44.901,0.257,-0.348,10471
Cs2PbCl6,26.044,0.243,-0.358,1870
LaCu2,77.289,0.283,-0.386,3852
YMg2,66.934,0.276,-0.388,9816
MgS,59.149,0.271,-0.403,5093
LiZnAu2,66.365,0.278,-0.432,4682
Sc3AlC,82.231,0.291,-0.448,7232
Mn3O4,57.058,0.273,-0.453,5230
Sc2CdAg,78.983,0.290,-0.469,7161
Sc,63.024,0.280,-0.498,7129
ZrGeTe,63.129,0.283,-0.549,10467
DyIr3,59.957,0.284,-0.588,2263
Sr(ZnGe)2,51.571,0.278,-0.599,7904
CdCl2,19.633,0.258,-0.651,1387
In2Se3,29.839,0.266,-0.659,3346
Ba(CdAs)2,41.132,0.277,-0.700,422
HoCd3,37.374,0.280,-0.794,3230
TbCd3,33.376,0.279,-0.829,8415
Cu3P,47.218,0.291,-0.852,2071
