id,species,height,dbh,xpos,ypos,condition
250297,Conifers,7.5,5.08,89,51,good
26176,Conifers,16.5,12.7,85,70,excellent
35622,Conifers,16.5,12.7,93,53,fair
41401,Conifers,7.5,5.08,85,70,good
79293,Conifers,16.5,12.7,94,53,excellent
2145,Conifers,6,2.54,126,70,fair
2444,Deciduous,6,2.54,124,67,good
37860,Deciduous,10.5,7.62,83,69,excellent
90745,Deciduous,6,2.54,79,118,fair
90746,Deciduous,6,2.54,80,118,good
90747,Deciduous,6,2.54,80,118,excellent
90748,Deciduous,6,2.54,80,118,fair
91081,Deciduous,10.5,7.62,78,117,good
94872,Deciduous,7.5,5.08,77,117,excellent
94875,Deciduous,7.5,5.08,78,117,fair
96032,Deciduous,7.5,5.08,77,117,good
204316,Deciduous,7.5,5.08,41,79,excellent
258212,Deciduous,7.5,5.08,150,17,fair
32,Deciduous,10.5,7.62,93,54,good
187,Deciduous,10.5,7.62,64,58,excellent
448,Deciduous,16.5,12.7,63,58,fair
980,Deciduous,7.5,5.08,137,32,good
1392,Deciduous,6,2.54,151,14,excellent
1421,Deciduous,16.5,12.7,139,35,fair
1422,Deciduous,16.5,12.7,139,35,good
1423,Deciduous,7.5,5.08,139,35,excellent
1429,Deciduous,13.5,10.16,142,40,fair
1534,Deciduous,13.5,10.16,159,16,good
1535,Deciduous,10.5,7.62,159,16,excellent
1617,Deciduous,13.5,10.16,141,21,fair
1655,Deciduous,6,2.54,148,42,good
1656,Deciduous,7.5,5.08,149,42,excellent
1726,Deciduous,16.5,12.7,152,32,fair
1798,Deciduous,10.5,7.62,177,33,good
1822,Deciduous,10.5,7.62,146,34,excellent
3081,Deciduous,10.5,7.62,124,66,fair
3082,Deciduous,13.5,10.16,124,66,good
3117,Deciduous,10.5,7.62,126,70,excellent
3162,Deciduous,10.5,7.62,124,66,fair
3163,Deciduous,13.5,10.16,124,66,good
3164,Deciduous,13.5,10.16,124,66,excellent
3167,Deciduous,13.5,10.16,124,66,fair
3176,Deciduous,10.5,7.62,124,67,good
3177,Deciduous,10.5,7.62,124,67,excellent
3178,Deciduous,10.5,7.62,124,67,fair
3179,Deciduous,10.5,7.62,124,67,good
3202,Deciduous,13.5,10.16,124,68,excellent
3207,Deciduous,7.5,5.08,125,69,fair
3233,Deciduous,7.5,5.08,124,67,good
3234,Deciduous,7.5,5.08,124,67,excellent
3235,Deciduous,10.5,7.62,124,67,fair
3236,Deciduous,10.5,7.62,124,67,good
3240,Deciduous,10.5,7.62,124,67,excellent
3241,Deciduous,10.5,7.62,125,67,fair
3243,Deciduous,10.5,7.62,125,67,good
3244,Deciduous,7.5,5.08,125,67,excellent
3245,Deciduous,7.5,5.08,125,67,fair
3358,Deciduous,10.5,7.62,126,71,good
3364,Deciduous,13.5,10.16,126,72,excellent
3458,Deciduous,7.5,5.08,126,69,fair
3531,Deciduous,10.5,7.62,127,70,good
3532,Deciduous,10.5,7.62,127,70,excellent
3533,Deciduous,10.5,7.62,127,70,fair
3534,Deciduous,7.5,5.08,127,70,good
3536,Deciduous,16.5,12.7,124,69,excellent
3587,Deciduous,7.5,5.08,127,70,fair
3588,Deciduous,10.5,7.62,127,70,good
3594,Deciduous,10.5,7.62,127,70,excellent
3595,Deciduous,13.5,10.16,127,70,fair
3598,Deciduous,10.5,7.62,127,70,good
3602,Deciduous,10.5,7.62,127,70,excellent
3607,Deciduous,7.5,5.08,124,70,fair
3608,Deciduous,6,2.54,124,70,good
3618,Deciduous,7.5,5.08,125,74,excellent
3621,Deciduous,13.5,10.16,124,74,fair
3639,Deciduous,13.5,10.16,125,73,good
3665,Deciduous,7.5,5.08,127,71,excellent
3666,Deciduous,7.5,5.08,127,71,fair
3806,Deciduous,7.5,5.08,125,72,good
3824,Deciduous,6,2.54,121,69,excellent
3870,Deciduous,10.5,7.62,126,73,fair
3871,Deciduous,10.5,7.62,126,73,good
3872,Deciduous,13.5,10.16,126,73,excellent
3873,Deciduous,10.5,7.62,126,73,fair
3911,Deciduous,7.5,5.08,120,70,good
3976,Deciduous,16.5,12.7,121,69,excellent
4053,Deciduous,10.5,7.62,122,68,fair
4054,Deciduous,7.5,5.08,122,68,good
4055,Deciduous,10.5,7.62,122,68,excellent
4094,Deciduous,13.5,10.16,126,70,fair
4095,Deciduous,10.5,7.62,125,70,good
4141,Deciduous,10.5,7.62,120,70,excellent
4172,Deciduous,7.5,5.08,121,70,fair
4285,Deciduous,13.5,10.16,162,39,good
4286,Deciduous,10.5,7.62,162,39,excellent
4611,Deciduous,13.5,10.16,122,69,fair
4687,Deciduous,10.5,7.62,122,68,good
4688,Deciduous,10.5,7.62,122,68,excellent
4734,Deciduous,10.5,7.62,124,71,fair
5037,Deciduous,10.5,7.62,123,71,good
5184,Deciduous,10.5,7.62,124,68,excellent
5185,Deciduous,13.5,10.16,124,68,fair
5200,Deciduous,16.5,12.7,124,68,good
5257,Deciduous,13.5,10.16,123,68,excellent
5488,Deciduous,7.5,5.08,154,18,fair
5781,Deciduous,13.5,10.16,145,21,good
5782,Deciduous,13.5,10.16,145,21,excellent
5842,Deciduous,13.5,10.16,147,21,fair
6032,Deciduous,7.5,5.08,146,22,good
6033,Deciduous,7.5,5.08,146,22,excellent
6034,Deciduous,10.5,7.62,146,22,fair
6035,Deciduous,10.5,7.62,146,22,good
6040,Deciduous,10.5,7.62,145,22,excellent
6126,Deciduous,13.5,10.16,155,13,fair
6383,Deciduous,13.5,10.16,156,40,good
6402,Deciduous,10.5,7.62,147,37,excellent
6423,Deciduous,9.0,7.62,152,45,fair
6424,Deciduous,15.0,12.7,152,45,good
6653,Deciduous,10.5,7.62,160,44,excellent
6654,Deciduous,13.5,10.16,160,44,fair
6832,Deciduous,9.0,7.62,146,42,good
6842,Deciduous,15.0,12.7,145,39,excellent
6873,Deciduous,13.5,10.16,135,17,fair
6874,Deciduous,16.5,12.7,135,17,good
6875,Deciduous,13.5,10.16,135,17,excellent
6926,Deciduous,10.5,7.62,135,17,fair
6972,Deciduous,15.0,12.7,148,48,good
7022,Deciduous,9.0,7.62,148,48,excellent
7042,Deciduous,10.5,7.62,143,22,fair
7043,Deciduous,7.5,5.08,142,22,good
