
Star Data Extractor Tool
     Image: [1] m23_3.5_071.fit
     Stars Found: 2508 (good stars)
     Radius of star diaphragm: 5
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor: High = 1.04
       X	       Y	   Sigma	    FWHM	 Sky ADU	   Star ADU
  737.54	  696.83	     n/a	     n/a	   720.9	    61169.6
  131.10	  850.64	    1.94	    4.55	   704.6	    60933.3
  403.44	  941.50	    1.84	    4.31	   715.4	    60915.9
  568.73	  337.23	    1.37	    3.22	   726.9	    59156.7
  490.31	   47.04	    1.51	    3.54	   709.1	    59139.5
  832.91	  613.54	    1.32	    3.09	   718.8	    59139.3
  738.30	  695.75	    1.51	    3.56	   723.1	    58089.4
  786.68	  181.10	    1.30	    3.06	   710.2	    56755.2
  510.04	  179.33	    1.43	    3.36	   717.3	    56727.6
  808.47	  976.57	    1.68	    3.96	   697.2	    56360.4
  674.36	  800.91	    1.55	    3.64	   715.5	    54720.0
  145.74	   67.64	    1.75	    4.12	   717.8	    54215.2
  267.29	  479.99	    1.70	    4.00	   741.2	    53869.4
  741.75	  696.18	     n/a	     n/a	   721.5	    53066.6
  472.87	  242.84	    1.36	    3.20	   718.3	    51499.1
  676.43	  569.56	    1.42	    3.33	   724.8	    51186.0
  456.47	  302.14	     n/a	     n/a	   753.2	    50727.1
  574.21	   78.88	    1.48	    3.49	   712.4	    50256.6
  489.05	  571.67	    1.53	    3.59	   750.0	    49571.7
  521.11	  626.65	    1.40	    3.30	   736.7	    48193.3
  652.41	  157.58	    1.45	    3.40	   717.5	    48020.2
  646.16	  704.30	    1.71	    4.02	   725.8	    47676.4
  309.35	  390.00	    1.66	    3.91	   747.2	    47263.0
  486.55	  514.91	    1.44	    3.39	   746.8	    46958.0
  161.64	  542.02	    1.68	    3.94	   726.1	    45809.0
  689.97	  769.98	    1.45	    3.41	   716.4	    45572.9
  403.17	  363.60	    1.52	    3.57	   736.6	    45320.5
  492.34	  551.56	    1.46	    3.44	   739.6	    45095.2
  305.64	  445.95	    1.54	    3.63	   752.5	    44940.2
  895.94	  614.00	    1.31	    3.08	   710.6	    44852.8
  581.52	  705.47	    1.50	    3.53	   722.1	    44312.5
  935.50	  683.92	    1.56	    3.66	   700.3	    44116.1
  714.03	  630.99	    1.34	    3.15	   723.2	    43943.3
  961.52	  591.96	    1.40	    3.30	   701.2	    43827.0
  720.46	  486.32	    1.44	    3.38	   730.9	    43774.4
  723.84	  435.22	    1.22	    2.88	   728.2	    43654.7
  397.45	  653.38	    1.59	    3.73	   730.2	    43618.1
  310.51	   44.40	    1.77	    4.16	   713.6	    43232.3
  184.41	  626.34	     n/a	     n/a	   719.3	    42622.1
  992.99	  724.03	    1.42	    3.35	   704.5	    42495.0
  943.31	  577.95	    1.35	    3.18	   704.7	    42266.1
  407.15	  450.43	    1.47	    3.44	   752.5	    42205.5
   73.33	  119.07	    1.94	    4.55	   711.2	    41763.9
  105.60	  862.38	    1.84	    4.33	   701.7	    41334.3
  495.40	  672.85	    1.53	    3.59	   730.9	    40881.5
  456.43	  301.43	    1.54	    3.61	   751.9	    40756.2
   18.93	  839.16	    1.95	    4.59	   696.2	    40751.4
  217.43	  645.43	    1.78	    4.19	   718.3	    40096.0
  432.50	  809.94	    1.68	    3.96	   714.4	    39923.2
  796.93	  135.77	    1.36	    3.18	   707.1	    39835.0
  913.26	  550.13	    1.25	    2.94	   706.4	    39099.7
   46.61	  647.05	    1.78	    4.18	   706.7	    38585.0
  528.60	  630.03	    1.35	    3.17	   737.4	    38301.7
  671.97	  444.90	    1.27	    2.99	   732.5	    38116.5
  675.02	  392.34	    1.27	    2.98	   728.5	    37862.2
  219.84	   53.11	    1.66	    3.89	   709.2	    36890.1
  185.68	  624.47	    1.79	    4.21	   721.0	    36659.5
  234.86	  492.93	    1.63	    3.83	   733.5	    36659.4
  185.69	  624.47	    1.80	    4.23	   721.0	    36654.5
  177.35	  328.18	    1.83	    4.29	   725.8	    35935.9
  354.75	  684.91	    1.55	    3.63	   731.3	    35816.5
  303.62	  880.92	    1.75	    4.11	   714.0	    35682.4
  196.67	  574.36	    1.69	    3.98	   719.0	    35208.9
  438.56	  825.58	    1.68	    3.95	   723.4	    35091.9
  260.54	  284.40	    1.57	    3.68	   733.6	    34907.7
  255.74	  670.56	    1.73	    4.07	   724.5	    34886.1
  787.33	  594.77	     n/a	     n/a	   722.7	    34883.7
  644.58	  342.92	    1.28	    3.00	   724.5	    34745.8
  816.06	  895.64	    1.51	    3.56	   703.8	    34711.9
  457.32	  253.57	     n/a	     n/a	   722.3	    34711.7
  260.46	  284.93	    1.57	    3.68	   734.3	    34693.7
   53.34	  821.88	    2.05	    4.82	   695.8	    34559.8
  716.73	  744.92	    1.37	    3.21	   714.9	    34349.4
  755.30	  324.90	    1.28	    3.00	   724.7	    34259.4
  429.37	  702.51	    1.58	    3.71	   732.1	    34088.0
  790.69	  593.90	     n/a	     n/a	   726.2	    33808.3
  790.06	  593.28	    1.30	    3.05	   727.4	    33630.3
  457.35	  253.02	    1.52	    3.57	   723.0	    33584.5
  671.06	  469.98	    1.27	    2.99	   754.4	    32818.4
   41.04	  719.92	    1.92	    4.52	   704.5	    31735.2
  538.01	  238.08	    1.33	    3.13	   715.0	    31515.2
  773.49	  918.44	    1.67	    3.92	   701.8	    30906.8
  445.58	  649.97	    1.52	    3.58	   728.2	    30757.8
  412.46	  771.92	    1.69	    3.98	   722.2	    30609.9
  822.48	  625.90	    1.41	    3.31	   720.9	    30583.2
  432.61	  891.56	     n/a	     n/a	   723.7	    29842.2
  214.22	   88.87	    1.85	    4.35	   718.7	    29639.2
  215.22	  552.13	    1.79	    4.21	   723.4	    29632.8
  980.52	  892.95	    1.60	    3.75	   697.2	    29587.5
  586.04	  359.97	    1.28	    3.00	   743.1	    29520.5
  351.69	  972.48	    1.81	    4.26	   709.8	    29339.9
  220.25	  717.10	    1.75	    4.11	   725.7	    29270.7
  432.09	  891.21	    1.75	    4.10	   724.8	    28871.2
  540.74	  565.92	    1.34	    3.15	   748.4	    28029.9
  961.56	   32.59	    1.59	    3.73	   689.9	    28025.8
  298.90	  733.76	    1.71	    4.02	   727.6	    27953.0
  678.49	  191.40	    1.48	    3.48	   717.6	    27785.6
  275.53	  615.56	    1.77	    4.17	   727.1	    27447.7
  707.05	  889.71	    1.55	    3.65	   709.7	    27321.7
  356.97	   49.40	    1.65	    3.87	   721.9	    27003.0
  485.05	  730.66	    1.57	    3.68	   728.6	    26967.9
  594.16	  366.52	    1.54	    3.62	   739.5	    26881.4
  366.23	  999.16	    1.86	    4.37	   702.1	    26852.6
  924.34	   66.04	    1.46	    3.42	   694.7	    26106.1
  651.05	  720.65	    1.48	    3.48	   720.5	    25772.7
  392.59	  493.04	    1.43	    3.36	   750.1	    25738.1
  231.57	  634.32	    1.90	    4.46	   735.4	    25597.8
  532.32	  526.00	    1.39	    3.26	   748.4	    25561.3
  112.35	  323.98	    1.85	    4.34	   724.6	    25538.7
  595.90	  749.63	    1.53	    3.59	   718.6	    25382.7
  457.11	  404.35	    1.37	    3.23	   742.7	    25367.3
  868.27	  102.03	    1.47	    3.46	   699.5	    24885.7
  880.97	  565.92	    1.17	    2.75	   716.0	    24555.6
  100.44	  737.07	    1.99	    4.68	   712.8	    24265.6
  582.02	  446.32	    1.33	    3.13	   739.3	    24217.1
  100.25	  737.01	    1.97	    4.63	   713.3	    24209.5
  804.95	  117.51	    2.33	    5.49	   707.5	    24170.9
  234.49	   23.63	    1.75	    4.11	   703.1	    24034.9
  804.94	  117.40	    2.36	    5.54	   707.5	    24012.2
  161.09	   60.05	    1.80	    4.23	   707.5	    23909.8
  704.39	  736.10	    1.49	    3.49	   716.5	    23585.0
  224.27	  945.04	    1.99	    4.68	   698.2	    23415.5
  102.17	  735.63	     n/a	     n/a	   713.4	    23022.8
  478.50	  590.32	    1.57	    3.68	   739.3	    22944.0
  703.02	  270.51	    1.25	    2.95	   719.5	    22546.0
  519.63	  715.44	    1.52	    3.57	   723.9	    22459.1
  987.27	  831.79	    1.62	    3.80	   708.4	    22453.2
  879.53	  431.42	    1.36	    3.19	   712.6	    22423.9
  817.17	  269.75	    1.28	    3.01	   712.1	    22394.8
  849.59	  852.49	    1.68	    3.94	   704.3	    22213.5
   79.12	  377.45	    2.08	    4.89	   723.1	    22058.9
  686.97	  850.70	    1.53	    3.59	   705.1	    22005.2
  517.32	  230.10	    1.58	    3.71	   725.4	    21970.3
  273.48	  457.43	    1.85	    4.36	   752.9	    21893.0
  664.92	  237.74	    1.29	    3.04	   715.3	    21861.2
  583.76	  470.07	    1.29	    3.03	   736.5	    21641.6
  427.02	  431.32	    1.40	    3.29	   751.9	    21168.4
  771.41	  330.33	    1.39	    3.27	   717.4	    20757.4
  897.94	  360.64	    1.21	    2.85	   708.9	    20671.0
  322.74	  690.93	    1.62	    3.80	   722.7	    20632.1
  667.96	  344.72	    1.26	    2.96	   716.9	    20619.0
  277.44	  101.12	    1.75	    4.12	   714.3	    20590.4
  579.43	  239.42	    1.49	    3.51	   714.3	    20482.0
  661.55	  104.71	    1.41	    3.32	   707.3	    20434.4
  334.65	  902.34	    1.73	    4.06	   712.3	    20372.0
  825.47	  105.64	    1.51	    3.55	   704.9	    20370.9
  334.67	  902.32	    1.75	    4.10	   712.4	    20367.7
  874.33	  490.05	    1.23	    2.90	   710.2	    20315.9
  344.74	  611.36	    1.51	    3.56	   744.3	    20287.2
  769.82	  832.12	    1.49	    3.49	   706.5	    20089.7
  444.35	  301.05	    1.54	    3.61	   736.6	    19948.3
  354.43	  605.49	    1.75	    4.12	   733.9	    19843.9
  359.49	  487.97	    1.64	    3.86	   750.4	    19825.8
  556.97	  271.59	    1.34	    3.14	   721.8	    19738.5
  507.73	  233.08	    1.39	    3.27	   728.3	    19660.0
  467.06	  488.70	    1.38	    3.23	   749.6	    19603.1
  463.73	  428.19	    1.36	    3.20	   746.9	    19551.5
  730.32	  741.83	    1.69	    3.97	   712.4	    19386.3
  729.97	  663.25	    1.61	    3.78	   721.3	    19366.8
   48.14	  823.20	     n/a	     n/a	   697.9	    19143.3
  324.82	  509.08	    1.46	    3.44	   734.5	    19030.6
