
Star Data Extractor Tool
     Image: [1] m23_3.5_071.fit
     Stars Found: 2508 (good stars)
     Radius of star diaphragm: 5
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor: High = 1.04
       X	       Y	   Sigma	    FWHM	 Sky ADU	   Star ADU
  382.27	 1010.02	    2.07	    4.87	   694.0	     4445.6
  383.72	  702.94	    1.72	    4.04	   721.0	     4443.7
  930.23	  839.99	    1.53	    3.59	   703.3	     4442.2
  247.35	  647.84	     n/a	     n/a	   724.8	     4436.1
  379.46	  636.52	    1.84	    4.33	   732.0	     4431.8
   94.67	  410.47	    2.17	    5.09	   731.2	     4421.1
  126.67	  599.73	     n/a	     n/a	   719.8	     4420.0
  732.50	  938.42	    1.69	    3.98	   697.4	     4419.8
  184.07	  821.48	    2.01	    4.73	   702.3	     4417.3
  551.00	  232.09	    1.26	    2.97	   715.7	     4413.8
   14.32	  704.26	     n/a	     n/a	   701.2	     4411.4
  718.40	  508.08	    1.53	    3.58	   727.5	     4403.5
  275.10	  828.50	    1.75	    4.12	   711.8	     4396.5
  728.06	  381.01	    1.26	    2.97	   722.7	     4393.7
  786.17	   25.52	    2.51	    5.89	   700.8	     4380.5
  592.58	  428.66	    1.57	    3.68	   737.7	     4374.7
  714.25	  584.23	     n/a	     n/a	   728.6	     4371.4
  999.95	  922.47	    1.58	    3.70	   685.9	     4367.2
  549.34	  921.81	    1.56	    3.67	   707.3	     4366.1
  993.01	 1001.64	    1.68	    3.94	   680.0	     4359.2
  268.65	  404.90	     n/a	     n/a	   743.9	     4354.3
  592.53	  428.78	    1.53	    3.61	   737.8	     4353.6
  999.11	  898.17	     n/a	     n/a	   691.5	     4349.9
  540.52	  509.95	    1.48	    3.48	   752.9	     4340.0
  879.97	  184.96	    1.44	    3.39	   705.6	     4339.2
  450.75	  549.60	    1.58	    3.70	   742.1	     4337.9
  386.53	  395.12	    1.58	    3.71	   750.3	     4337.1
  229.58	  323.00	    1.62	    3.81	   727.3	     4335.5
  174.71	  166.56	     n/a	     n/a	   722.8	     4328.1
  312.74	  998.90	     n/a	     n/a	   706.5	     4322.1
  295.28	  529.14	    1.86	    4.37	   728.5	     4318.7
  312.74	  998.90	     n/a	     n/a	   706.6	     4317.3
  113.05	  848.36	    2.49	    5.85	   703.4	     4310.7
  185.21	  207.26	    2.03	    4.77	   730.9	     4303.9
  295.27	  529.14	    1.86	    4.38	   728.7	     4302.8
   71.43	   61.00	     n/a	     n/a	   703.9	     4292.2
  474.75	  655.22	     n/a	     n/a	   728.5	     4291.6
  338.46	  757.56	    1.90	    4.46	   718.2	     4287.6
  207.72	  898.71	     n/a	     n/a	   704.8	     4279.5
  627.35	  759.88	    1.75	    4.12	   719.1	     4270.1
  863.97	  511.64	    1.16	    2.72	   709.6	     4261.4
  455.08	  550.83	     n/a	     n/a	   739.0	     4261.3
  174.43	  166.58	     n/a	     n/a	   722.7	     4254.3
  437.24	  475.07	     n/a	     n/a	   753.8	     4241.2
   67.17	  696.23	    1.97	    4.63	   704.6	     4240.3
  474.82	  656.00	     n/a	     n/a	   729.1	     4237.3
  234.96	  967.67	     n/a	     n/a	   709.0	     4230.7
   81.88	   14.02	     n/a	     n/a	   699.6	     4222.4
  592.28	  428.75	    1.44	    3.39	   738.2	     4217.2
 1003.39	  720.45	    1.48	    3.47	   701.5	     4213.4
  796.45	  555.32	    1.48	    3.48	   716.5	     4209.9
  311.75	  753.62	     n/a	     n/a	   723.2	     4207.8
  312.88	  998.91	     n/a	     n/a	   706.9	     4206.9
  233.96	  604.51	    1.97	    4.62	   723.2	     4206.2
  358.33	  847.96	    2.01	    4.72	   712.1	     4191.9
  450.49	  549.50	    1.54	    3.63	   742.7	     4191.2
  787.01	  486.98	    1.47	    3.45	   718.2	     4181.7
  519.00	  404.98	    1.37	    3.23	   738.9	     4176.6
   72.58	   59.06	    1.84	    4.34	   706.7	     4167.5
  282.03	   60.61	    1.79	    4.20	   707.0	     4166.3
  592.16	  428.66	    1.41	    3.32	   738.3	     4160.5
  177.37	  166.27	     n/a	     n/a	   722.4	     4156.9
  429.47	  617.98	    2.09	    4.92	   731.5	     4153.4
  639.59	  391.15	    1.73	    4.07	   730.0	     4149.8
  796.27	  555.09	    1.35	    3.18	   716.7	     4148.5
  596.57	  872.58	    1.79	    4.20	   712.3	     4144.8
  174.27	  166.67	     n/a	     n/a	   722.9	     4140.5
  700.03	   19.02	    1.53	    3.60	   705.2	     4140.0
  740.75	  381.12	    1.32	    3.10	   724.8	     4137.9
  142.45	  781.95	    1.83	    4.31	   709.6	     4133.6
  396.08	  267.07	    1.50	    3.53	   721.6	     4117.3
  258.69	  434.47	    1.73	    4.06	   744.4	     4114.1
  113.00	  848.42	    2.03	    4.77	   703.4	     4113.0
  797.94	  817.23	    1.40	    3.28	   707.4	     4099.3
  596.78	  872.79	    1.89	    4.44	   712.5	     4085.8
  550.81	  897.22	    1.99	    4.67	   713.0	     4085.7
  867.32	  424.06	    1.51	    3.54	   715.8	     4082.1
  977.42	  491.58	     n/a	     n/a	   703.2	     4076.6
  539.05	  842.67	    1.98	    4.64	   718.1	     4075.8
  942.04	   82.37	    1.94	    4.55	   695.8	     4075.4
   24.47	   22.57	    2.03	    4.78	   692.5	     4074.9
  942.04	   82.37	    1.94	    4.55	   695.8	     4074.2
  549.22	  921.02	    1.67	    3.91	   708.3	     4062.3
  142.81	  781.95	    1.93	    4.54	   710.0	     4061.8
  538.97	  842.78	    1.93	    4.53	   718.4	     4059.6
  872.01	  135.97	    1.43	    3.37	   707.2	     4051.3
  587.92	  718.80	    1.66	    3.91	   724.8	     4043.8
  751.30	  620.01	     n/a	     n/a	   718.8	     4040.7
  870.98	  592.04	    1.32	    3.11	   707.0	     4034.3
  550.98	  897.45	    1.97	    4.62	   713.2	     4031.3
  836.63	  875.65	     n/a	     n/a	   702.0	     4028.9
  582.31	  692.00	    1.51	    3.55	   721.1	     4027.0
  924.73	  522.85	    1.24	    2.92	   703.5	     4013.6
  541.07	  528.50	    1.61	    3.79	   748.3	     4007.9
  215.43	  194.87	    2.29	    5.37	   722.2	     4006.8
   79.44	  612.85	    2.08	    4.88	   709.2	     3994.8
  362.34	   20.03	    1.87	    4.39	   703.7	     3994.4
   94.84	  305.23	    1.79	    4.22	   717.4	     3983.5
  897.26	  541.11	    1.23	    2.89	   706.2	     3983.4
  490.99	  612.25	    1.66	    3.91	   730.4	     3981.8
   14.29	  699.53	     n/a	     n/a	   702.9	     3978.5
  573.13	  788.27	    2.74	    6.43	   714.5	     3977.1
  663.60	  612.80	     n/a	     n/a	   725.4	     3977.0
  482.16	  679.72	    1.62	    3.81	   725.2	     3966.7
  617.95	  503.31	     n/a	     n/a	   733.5	     3958.1
  394.16	  787.65	     n/a	     n/a	   718.0	     3953.8
   42.78	  532.59	     n/a	     n/a	   709.4	     3952.6
  199.97	  506.51	    2.16	    5.08	   724.1	     3946.8
  274.51	  119.97	     n/a	     n/a	   711.4	     3945.8
   43.12	  823.23	    2.06	    4.84	   699.1	     3937.9
  202.74	  311.15	     n/a	     n/a	   726.5	     3932.8
  394.18	  788.39	     n/a	     n/a	   717.8	     3930.7
   80.53	   13.14	     n/a	     n/a	   698.4	     3929.0
  663.49	  612.80	     n/a	     n/a	   725.5	     3928.7
  769.02	   14.64	     n/a	     n/a	   700.8	     3923.4
  643.33	  202.87	    1.55	    3.63	   720.0	     3919.3
  183.08	  994.91	    2.06	    4.84	   694.2	     3919.1
  207.22	  899.14	    2.23	    5.25	   705.2	     3915.8
  308.06	  233.36	    1.66	    3.91	   723.4	     3915.2
   16.09	  856.35	    1.91	    4.48	   691.3	     3912.4
  992.09	   76.27	    1.49	    3.49	   691.3	     3908.2
  146.64	   79.10	    1.74	    4.09	   718.9	     3905.7
  217.09	  924.64	    1.96	    4.60	   707.9	     3905.7
  643.09	  202.99	    1.54	    3.61	   720.1	     3903.0
  289.35	  530.24	     n/a	     n/a	   729.0	     3890.3
   99.63	  469.64	    2.20	    5.18	   715.8	     3881.3
  765.65	  372.99	    2.76	    6.49	   721.0	     3877.0
  596.50	  768.35	    1.81	    4.25	   719.8	     3876.0
  202.30	  311.03	     n/a	     n/a	   726.6	     3867.2
  512.45	  700.46	    1.73	    4.07	   722.5	     3867.0
  471.97	  340.56	     n/a	     n/a	   727.7	     3865.6
  760.95	  824.54	    1.54	    3.63	   705.9	     3860.4
  664.81	  613.04	     n/a	     n/a	   723.9	     3860.4
  381.07	  130.36	    1.94	    4.57	   715.0	     3858.2
  664.12	  613.04	     n/a	     n/a	   724.8	     3855.7
  497.01	  854.61	    1.77	    4.16	   709.4	     3844.3
  746.02	  124.73	    1.41	    3.30	   708.7	     3837.4
  248.58	  651.62	     n/a	     n/a	   730.4	     3836.7
  633.86	  971.75	    1.85	    4.34	   704.6	     3832.3
  905.51	  342.21	    1.37	    3.21	   707.9	     3828.8
   83.92	   15.46	     n/a	     n/a	   701.2	     3819.5
   83.67	   13.57	     n/a	     n/a	   701.0	     3819.2
  979.05	  492.20	     n/a	     n/a	   703.1	     3817.7
  349.08	  176.54	    1.61	    3.78	   722.7	     3816.9
  998.01	  898.63	    2.21	    5.19	   693.0	     3816.4
  715.45	  584.13	    2.31	    5.43	   728.6	     3812.9
  345.63	  257.20	    1.92	    4.52	   722.5	     3812.0
  439.50	  692.51	    1.78	    4.19	   725.4	     3807.1
  148.27	  598.01	     n/a	     n/a	   723.9	     3806.3
  682.54	  683.03	    1.37	    3.23	   724.4	     3802.1
  437.27	  475.89	    2.57	    6.04	   754.5	     3800.3
  173.80	  166.70	     n/a	     n/a	   723.1	     3792.0
  158.58	  457.91	    1.89	    4.44	   721.0	     3789.4
  769.64	   15.58	     n/a	     n/a	   702.8	     3787.2
  675.66	  674.52	     n/a	     n/a	   725.3	     3784.0
  458.59	  615.90	    1.74	    4.09	   729.6	     3783.8
  267.39	  572.33	    1.88	    4.42	   733.3	     3779.6
  838.16	  873.41	     n/a	     n/a	   705.2	     3779.5
  179.69	   41.56	    1.85	    4.35	   701.9	     3771.6
  675.83	  674.30	     n/a	     n/a	   725.3	     3763.8
  248.26	  652.04	     n/a	     n/a	   731.7	     3758.6
  369.15	  992.23	    1.60	    3.75	   701.3	     3758.5
  267.25	  572.47	    1.88	    4.41	   733.4	     3756.4
  471.73	  340.31	     n/a	     n/a	   727.6	     3755.8
  804.35	  390.03	    2.70	    6.34	   720.7	     3752.4
  140.59	  502.96	    1.83	    4.30	   718.6	     3746.5
  390.49	   53.69	     n/a	     n/a	   721.4	     3743.1
  313.85	  107.10	     n/a	     n/a	   717.0	     3742.4
  763.47	  310.60	    1.34	    3.14	   717.8	     3737.5
  837.95	  949.36	    1.81	    4.26	   694.1	     3736.0
   63.39	  353.99	    1.94	    4.55	   715.3	     3734.0
  214.97	  694.53	     n/a	     n/a	   714.8	     3733.2
  148.87	  213.75	    1.89	    4.44	   720.6	     3732.5
  617.84	   52.39	    1.66	    3.91	   706.9	     3729.7
  111.07	 1006.18	     n/a	     n/a	   689.5	     3725.3
  596.23	  736.13	    1.45	    3.42	   729.5	     3710.4
  214.98	  694.53	     n/a	     n/a	   714.8	     3710.3
  173.73	  166.79	     n/a	     n/a	   723.0	     3709.4
  248.96	  651.04	     n/a	     n/a	   729.6	     3701.5
  617.02	  623.92	    1.31	    3.07	   726.4	     3700.6
  383.86	  797.53	     n/a	     n/a	   718.9	     3692.8
  715.74	  584.15	    2.41	    5.66	   728.5	     3684.0
  769.98	   16.36	    1.49	    3.49	   703.7	     3678.4
   84.13	   15.71	    3.02	    7.09	   701.4	     3676.0
  247.49	  653.09	     n/a	     n/a	   734.8	     3675.9
  391.24	   53.61	    2.57	    6.04	   721.8	     3672.4
  244.53	  185.17	    2.36	    5.54	   721.9	     3671.1
  471.63	  340.24	     n/a	     n/a	   727.4	     3671.0
  810.34	  469.84	     n/a	     n/a	   719.2	     3668.4
  700.90	  234.46	    1.54	    3.61	   717.0	     3659.7
  127.59	  603.98	    2.35	    5.51	   718.1	     3657.9
  665.28	  613.29	     n/a	     n/a	   723.5	     3657.4
  271.54	  159.07	    2.00	    4.71	   736.3	     3651.3
  975.51	  492.69	     n/a	     n/a	   704.8	     3649.4
  400.57	  404.07	    1.64	    3.85	   754.8	     3646.9
  975.51	  492.69	     n/a	     n/a	   704.8	     3645.4
  249.39	  650.77	    2.37	    5.56	   728.9	     3639.1
  565.49	  615.88	    1.56	    3.67	   736.2	     3637.0
  401.52	  610.88	    2.48	    5.83	   728.0	     3635.8
  339.09	  641.32	    1.71	    4.01	   725.8	     3635.4
  395.49	  904.53	    1.79	    4.20	   712.8	     3633.5
  127.59	  603.98	    2.35	    5.51	   718.1	     3632.9
  272.41	  119.08	     n/a	     n/a	   711.6	     3629.8
  665.05	  613.38	     n/a	     n/a	   723.9	     3623.6
  975.40	  492.81	     n/a	     n/a	   705.0	     3620.1
  795.50	  691.51	    1.53	    3.59	   715.4	     3619.2
  330.44	  395.45	    1.67	    3.92	   748.1	     3617.3
  205.08	  126.33	    2.29	    5.38	   718.4	     3609.9
  662.06	  279.72	    1.39	    3.28	   721.4	     3605.4
  899.68	  797.97	    1.44	    3.39	   706.1	     3605.1
  231.70	  696.66	    1.75	    4.11	   713.8	     3603.1
  173.22	  166.84	     n/a	     n/a	   723.5	     3601.4
  736.32	  242.97	    1.49	    3.49	   714.3	     3596.9
  673.53	  809.55	    2.36	    5.55	   714.9	     3593.2
  206.99	  899.27	    2.24	    5.27	   704.7	     3590.0
  249.50	  650.82	    2.42	    5.68	   728.9	     3586.6
  825.40	  770.88	    1.83	    4.29	   705.3	     3585.3
  120.68	  702.60	     n/a	     n/a	   711.7	     3580.1
  149.52	  597.53	     n/a	     n/a	   724.4	     3579.7
  836.10	  876.76	    1.98	    4.64	   701.0	     3579.6
  754.03	  616.29	    1.85	    4.35	   717.8	     3575.1
  746.40	  153.24	    1.69	    3.98	   709.5	     3572.3
  836.11	  876.64	    1.98	    4.64	   701.1	     3569.6
  505.55	  564.96	    1.85	    4.35	   737.2	     3568.4
  460.98	  861.25	    1.75	    4.11	   715.2	     3566.9
  566.85	  204.77	    1.57	    3.70	   721.1	     3563.3
   39.40	   32.30	     n/a	     n/a	   704.9	     3561.4
  478.46	  758.83	     n/a	     n/a	   724.3	     3557.5
  836.03	  876.65	    1.99	    4.67	   701.1	     3555.8
  566.84	  204.88	    1.58	    3.72	   721.3	     3553.6
  812.59	  254.18	    1.30	    3.05	   710.9	     3553.4
   84.21	   15.83	    2.89	    6.78	   701.6	     3553.1
  812.91	  254.33	    1.28	    3.01	   711.0	     3551.9
  194.59	  153.63	    1.76	    4.13	   727.7	     3549.2
  437.37	  476.03	    2.28	    5.35	   755.0	     3536.1
  391.00	   53.70	     n/a	     n/a	   722.0	     3534.6
  754.03	  616.09	    1.80	    4.24	   717.8	     3534.1
  437.37	  476.03	    2.27	    5.34	   755.1	     3530.9
  151.89	  952.94	    2.02	    4.75	   698.2	     3521.3
  545.51	  716.93	    1.70	    3.99	   718.2	     3518.3
  951.82	   77.65	    1.50	    3.53	   699.4	     3515.2
  231.46	  696.91	    1.90	    4.47	   714.0	     3509.0
  401.60	  610.84	    2.51	    5.89	   727.9	     3506.1
  804.41	  389.60	    2.88	    6.76	   720.6	     3505.4
  882.19	  778.82	    1.49	    3.50	   700.7	     3505.2
  201.23	  310.66	    2.79	    6.56	   726.9	     3499.3
  756.22	  388.77	     n/a	     n/a	   725.5	     3497.8
  561.17	  569.46	    1.64	    3.86	   740.9	     3496.1
  156.59	  516.92	    1.95	    4.58	   711.1	     3489.7
  369.69	  859.98	    1.94	    4.57	   711.4	     3489.7
  504.50	  784.40	     n/a	     n/a	   719.2	     3488.6
  555.35	  468.58	     n/a	     n/a	   745.9	     3487.0
  923.97	  747.27	    1.45	    3.41	   699.9	     3486.6
  804.38	  389.51	    2.90	    6.82	   720.8	     3485.5
 1000.05	  513.32	    2.18	    5.12	   701.2	     3482.9
  178.80	  166.17	    2.58	    6.06	   723.3	     3482.7
  493.40	  251.20	    1.72	    4.03	   719.2	     3475.7
  573.04	  908.65	    1.76	    4.14	   714.6	     3474.9
  619.56	  702.55	    1.06	    2.49	   727.9	     3469.5
  313.06	  105.47	    2.01	    4.73	   715.7	     3465.9
  412.80	   81.34	     n/a	     n/a	   712.8	     3461.5
  374.05	  229.96	    1.47	    3.46	   720.9	     3460.0
  711.67	  196.06	    1.34	    3.15	   712.3	     3458.6
  746.48	  153.44	    1.71	    4.02	   709.6	     3456.1
  113.11	  288.70	    1.83	    4.30	   726.1	     3453.0
  275.58	  554.41	    1.64	    3.86	   726.1	     3452.4
  219.23	  694.99	     n/a	     n/a	   719.3	     3452.2
  204.76	  311.71	     n/a	     n/a	   727.1	     3450.4
  712.95	  422.03	    1.53	    3.60	   726.2	     3450.0
  615.10	   35.35	    1.57	    3.69	   707.7	     3447.1
  350.50	  769.48	    1.88	    4.42	   716.1	     3445.5
  474.92	  657.91	    2.71	    6.38	   730.9	     3445.2
  471.36	  339.78	     n/a	     n/a	   727.6	     3445.0
  356.76	  405.92	    1.54	    3.62	   756.9	     3444.7
  315.07	  836.95	    2.64	    6.20	   711.1	     3432.2
  219.48	  695.00	    2.60	    6.11	   719.5	     3427.2
   36.80	   32.36	     n/a	     n/a	   704.8	     3425.6
  312.98	  105.37	    1.63	    3.84	   715.4	     3405.0
  827.22	  836.09	    1.42	    3.33	   701.2	     3404.8
   43.44	  496.21	    2.68	    6.30	   712.5	     3404.3
  542.30	  401.92	    1.49	    3.50	   742.2	     3398.7
  712.53	  558.56	    1.62	    3.80	   727.3	     3394.9
  300.18	  121.51	     n/a	     n/a	   715.3	     3391.6
  320.10	  579.79	    1.64	    3.85	   737.5	     3390.6
   38.33	   49.15	    2.66	    6.25	   697.2	     3381.9
  271.79	  119.07	    1.56	    3.66	   711.7	     3381.1
  605.06	  615.29	    1.55	    3.64	   727.9	     3380.7
  276.57	  324.94	    1.60	    3.76	   739.5	     3376.6
  313.07	  105.37	    1.70	    4.00	   715.6	     3374.6
  805.18	  394.27	     n/a	     n/a	   722.0	     3369.9
  605.04	  273.47	    1.83	    4.31	   722.5	     3366.7
  851.42	   46.20	     n/a	     n/a	   701.3	     3362.6
  609.68	  204.01	    1.44	    3.39	   718.4	     3354.0
  152.00	  952.41	    2.17	    5.11	   698.6	     3351.0
  614.23	  504.28	     n/a	     n/a	   733.4	     3346.4
  184.71	  888.99	    1.96	    4.61	   703.0	     3344.5
   16.74	   33.92	     n/a	     n/a	   697.0	     3340.6
  479.61	  758.71	     n/a	     n/a	   726.5	     3340.5
  286.16	  697.59	    1.86	    4.36	   720.2	     3338.7
  121.52	  615.50	    2.05	    4.81	   713.7	     3333.9
  715.99	  244.96	    1.39	    3.26	   714.3	     3330.0
   43.36	  496.58	     n/a	     n/a	   712.5	     3329.3
  373.34	  146.18	     n/a	     n/a	   721.0	     3327.7
  300.33	  121.98	     n/a	     n/a	   714.8	     3327.2
  219.60	  695.01	    2.82	    6.64	   719.6	     3323.9
  745.06	  167.06	    1.50	    3.54	   708.4	     3319.5
  600.85	 1001.78	    1.91	    4.49	   703.1	     3311.8
  326.03	  997.89	     n/a	     n/a	   703.4	     3308.9
   43.49	  496.41	    2.39	    5.61	   712.5	     3306.1
  288.23	  530.46	    2.86	    6.71	   728.4	     3305.2
  250.34	  650.29	     n/a	     n/a	   729.0	     3304.4
  851.57	   46.18	    2.65	    6.23	   701.1	     3303.5
  369.54	  991.74	    2.63	    6.18	   701.1	     3302.8
  219.84	  695.00	    2.91	    6.83	   719.9	     3300.7
  599.67	   53.03	    1.66	    3.90	   707.8	     3290.6
   74.85	  526.64	    2.09	    4.90	   705.5	     3289.3
  415.78	   84.41	    1.97	    4.63	   712.5	     3283.3
  817.63	  393.67	    1.67	    3.93	   718.4	     3281.5
  308.54	  542.86	    2.70	    6.34	   730.2	     3280.9
  702.20	  258.21	    1.45	    3.40	   719.9	     3278.2
  320.10	  579.98	    1.63	    3.83	   738.3	     3271.8
  817.73	  393.70	    1.66	    3.89	   718.3	     3267.9
  521.57	  332.13	    1.41	    3.31	   722.9	     3266.5
  144.67	  138.12	    1.96	    4.60	   717.3	     3262.3
  345.09	  216.68	    1.85	    4.35	   722.1	     3260.4
  300.47	  122.31	     n/a	     n/a	   715.3	     3260.4
  126.25	  598.06	    2.52	    5.93	   722.3	     3257.6
  201.00	  310.58	    2.69	    6.33	   726.8	     3252.8
  369.55	  991.54	    2.30	    5.41	   701.1	     3243.9
  316.58	  410.09	    1.55	    3.63	   744.5	     3243.0
  713.71	  472.02	    1.30	    3.05	   726.6	     3241.0
  947.65	  777.32	     n/a	     n/a	   700.7	     3240.1
  286.41	  697.02	    2.01	    4.72	   720.3	     3235.5
   17.02	   34.04	     n/a	     n/a	   697.2	     3233.8
  201.00	  310.68	    2.68	    6.29	   727.1	     3233.0
  462.63	  753.50	    1.66	    3.90	   722.1	     3229.3
  543.12	  356.61	     n/a	     n/a	   726.2	     3222.1
  323.95	  415.58	    1.68	    3.96	   746.0	     3220.4
  918.28	  697.03	    2.53	    5.95	   703.5	     3212.4
  489.74	  155.14	    1.73	    4.06	   710.1	     3210.6
  324.00	  415.49	    1.70	    4.00	   746.2	     3206.8
  557.70	  817.85	     n/a	     n/a	   714.0	     3206.3
  492.62	  794.43	    1.75	    4.12	   722.3	     3203.9
  412.61	   81.32	     n/a	     n/a	   712.8	     3202.7
  420.29	  239.98	    1.45	    3.41	   717.4	     3202.0
  506.33	  781.99	    1.57	    3.69	   722.5	     3195.8
  750.03	  620.48	     n/a	     n/a	   720.0	     3187.8
   33.63	  164.97	     n/a	     n/a	   704.7	     3173.3
  370.69	  565.09	     n/a	     n/a	   744.5	     3169.6
  978.36	  146.69	     n/a	     n/a	   697.6	     3169.1
  616.53	  559.63	    1.47	    3.46	   733.0	     3159.9
   33.77	  164.97	    2.36	    5.55	   704.9	     3159.0
  246.38	  646.42	     n/a	     n/a	   726.2	     3155.3
   16.28	   32.53	     n/a	     n/a	   697.6	     3154.6
  200.43	  102.15	     n/a	     n/a	   714.2	     3153.4
  859.30	  649.02	    1.60	    3.76	   710.1	     3151.4
  239.10	  456.56	    1.81	    4.26	   743.5	     3149.0
  415.98	   84.84	    2.11	    4.96	   712.9	     3147.2
  184.04	  778.27	    1.81	    4.24	   707.5	     3145.4
  236.17	  464.77	    1.59	    3.73	   745.1	     3136.8
  173.91	  548.86	     n/a	     n/a	   717.1	     3136.5
  390.27	   65.76	    1.77	    4.17	   715.0	     3133.9
  308.60	  814.92	    1.98	    4.65	   707.2	     3133.4
  749.90	  620.74	     n/a	     n/a	   720.2	     3132.9
  762.50	  449.85	    1.53	    3.59	   725.6	     3125.3
  232.07	  383.97	    1.66	    3.90	   742.7	     3124.5
  397.95	  303.19	    2.74	    6.43	   724.9	     3119.4
   41.16	  579.67	    2.36	    5.54	   699.9	     3118.0
  449.35	  865.22	     n/a	     n/a	   712.7	     3117.7
  750.16	  620.68	     n/a	     n/a	   719.9	     3115.0
  557.94	  817.87	     n/a	     n/a	   713.6	     3106.2
  553.60	  654.04	    2.32	    5.46	   729.9	     3106.2
  554.06	  469.25	     n/a	     n/a	   746.3	     3098.9
   41.12	  579.91	    2.34	    5.51	   700.0	     3096.9
  117.12	  584.33	     n/a	     n/a	   721.5	     3088.8
  661.19	  612.20	    2.55	    5.99	   729.0	     3086.0
  755.02	  390.31	    1.90	    4.46	   726.7	     3083.4
  123.25	  807.09	    2.05	    4.81	   713.9	     3082.7
  422.01	  780.93	    1.64	    3.85	   724.7	     3080.2
  317.32	  242.91	    1.89	    4.45	   729.5	     3079.5
  557.80	  817.73	     n/a	     n/a	   713.9	     3078.6
  321.24	  490.48	     n/a	     n/a	   738.8	     3076.0
  487.04	  344.91	    1.34	    3.14	   733.8	     3069.6
  949.68	  858.99	    1.57	    3.69	   699.8	     3068.2
   75.68	  806.13	     n/a	     n/a	   704.6	     3066.1
  643.34	  482.06	    1.53	    3.60	   732.6	     3064.9
  895.47	  378.98	    1.54	    3.61	   707.3	     3064.5
  742.52	  923.49	    1.74	    4.08	   702.8	     3060.0
  115.46	  477.17	    1.78	    4.18	   716.7	     3059.3
  694.51	  265.06	    1.65	    3.87	   726.4	     3054.2
  359.03	  579.97	    1.75	    4.12	   728.8	     3051.3
  541.61	  360.04	     n/a	     n/a	   729.3	     3051.0
  725.65	  629.71	    2.06	    4.83	   736.2	     3048.1
  945.99	  779.00	    1.48	    3.48	   700.1	     3046.6
  376.04	  575.00	    1.65	    3.88	   731.7	     3044.5
  201.15	  102.03	    2.97	    6.99	   714.6	     3043.4
  126.38	  597.97	    2.26	    5.31	   722.6	     3042.2
  102.56	  444.45	    1.93	    4.53	   723.6	     3032.7
  321.51	  490.56	    2.97	    6.98	   738.6	     3030.4
  224.55	  428.98	    1.74	    4.08	   735.6	     3028.6
  613.24	  874.81	    1.83	    4.31	   710.8	     3027.9
  102.56	  444.45	    1.93	    4.53	   723.6	     3027.3
  610.81	  790.90	     n/a	     n/a	   720.3	     3025.1
  385.30	  474.79	    1.63	    3.83	   756.2	     3023.6
  566.22	   26.08	    1.91	    4.50	   710.5	     3022.6
  430.57	  348.49	    2.43	    5.70	   731.1	     3021.4
  349.68	   94.65	     n/a	     n/a	   715.9	     3021.1
  266.95	  825.52	    2.54	    5.98	   712.6	     3020.8
  430.57	  348.49	    2.43	    5.70	   731.1	     3019.5
  539.67	  952.89	    2.09	    4.91	   704.3	     3018.7
  232.27	  383.96	    1.73	    4.06	   743.4	     3018.7
  141.92	  335.29	    2.75	    6.47	   722.7	     3017.8
  430.57	  348.49	    2.42	    5.70	   731.2	     3016.6
  266.94	  825.54	    2.54	    5.97	   712.7	     3016.3
  344.94	  432.59	     n/a	     n/a	   759.8	     3015.1
  126.16	  598.00	    2.23	    5.24	   722.5	     3015.1
  301.11	  122.75	     n/a	     n/a	   715.9	     3012.0
  615.53	  900.54	    1.73	    4.07	   704.6	     3009.8
  563.26	  804.23	    1.78	    4.18	   712.9	     3009.8
  615.53	  900.55	    1.73	    4.07	   704.6	     3008.4
  321.51	  490.56	     n/a	     n/a	   738.6	     3005.9
  622.82	  169.42	    1.55	    3.63	   714.9	     3005.6
  513.72	  244.01	    1.73	    4.07	   720.3	     3005.6
  373.99	  147.87	     n/a	     n/a	   722.6	     3002.0
  476.06	  902.89	    1.87	    4.40	   709.5	     3001.9
  394.12	  790.52	    2.15	    5.05	   719.1	     2997.1
 1000.04	  872.61	    1.61	    3.78	   692.3	     2996.3
  144.07	  986.95	    2.02	    4.75	   697.4	     2995.7
   24.73	  999.94	    2.19	    5.14	   684.5	     2990.7
  215.77	  412.03	    1.76	    4.14	   737.9	     2990.2
  349.43	   95.17	     n/a	     n/a	   715.0	     2989.9
  931.27	  372.03	    1.38	    3.25	   706.8	     2987.7
  554.05	  654.40	    2.01	    4.72	   729.8	     2987.5
  979.75	  146.67	     n/a	     n/a	   697.5	     2979.9
  700.61	  244.40	    1.57	    3.69	   719.2	     2975.7
   28.40	  558.94	    2.62	    6.15	   705.5	     2974.9
  136.90	  789.25	     n/a	     n/a	   713.0	     2971.9
   84.23	  870.43	    2.05	    4.83	   691.2	     2969.9
  265.16	   91.33	     n/a	     n/a	   717.5	     2967.1
  557.49	  526.11	    1.48	    3.47	   741.8	     2966.8
   28.31	  558.98	    2.58	    6.06	   705.5	     2964.6
  234.32	  159.90	    1.79	    4.21	   721.4	     2961.5
   25.25	  913.28	    2.17	    5.11	   692.1	     2960.5
  345.38	  196.85	     n/a	     n/a	   721.3	     2959.6
  310.45	  753.77	     n/a	     n/a	   725.4	     2954.6
  660.79	  423.49	    1.58	    3.72	   727.4	     2952.6
